model,use_case,qa_file,qa_index,question,reference_answer,rag_answer,no_context_answer,rag_bert_Precision,rag_bert_Recall,rag_bert_F1,rag_rouge1,rag_rouge2,rag_rougeL,rag_bleu,rag_meteor,no_context_bert_Precision,no_context_bert_Recall,no_context_bert_F1,no_context_rouge1,no_context_rouge2,no_context_rougeL,no_context_bleu,no_context_meteor,rag_total_time_s,no_context_total_time_s,rag_retrieval_time_s,no_context_retrieval_time_s,rag_llm_time_s,no_context_llm_time_s,rag_rss_diff_mb,no_context_rss_diff_mb,rag_est_cpu_usage_pct,no_context_est_cpu_usage_pct,rag_psutil_cpu_usage_pct,no_context_psutil_cpu_usage_pct,rag_response_bytes,no_context_response_bytes,rag_response_token_count,no_context_response_token_count,rag_nvml_gpu_memory_used_diff_mb,no_context_nvml_gpu_memory_used_diff_mb,rag_nvml_gpu_utilization_diff_pct,no_context_nvml_gpu_utilization_diff_pct,rag_smi_gpu_memory_used_diff_mb,no_context_smi_gpu_memory_used_diff_mb,rag_smi_gpu_utilization_diff_pct,no_context_smi_gpu_utilization_diff_pct,rag_torch_memory_allocated_diff_mb,no_context_torch_memory_allocated_diff_mb,rag_torch_memory_reserved_diff_mb,no_context_torch_memory_reserved_diff_mb
llama3.1:8b,Device Management,Evaluation/device_management.docx,1,How can I update the firmware for Cosori Smart Air Fryer?,"To update the firmware, open the VeSync app, navigate to 'Settings,' and check for available firmware updates. Follow the on-screen instructions to complete the update.","According to MGMT-0001, you can update the firmware of the Cosori Smart Air Fryer by opening the VeSync app, navigating to ""Settings,"" and checking for available firmware updates. Follow the on-screen instructions to complete the update.","Updating the firmware of your Cosori Smart Air Fryer is a relatively straightforward process that you can do through the companion app or by following the in-app instructions. Here's how:

### Method 1: Update Firmware Through the Companion App

1. **Download and Install the Companion App**: Ensure you have downloaded the latest version of the Cosori Smart App from either Google Play Store (for Android devices) or Apple App Store (for iOS devices).

2. **Connect Your Air Fryer to Wi-Fi**: Before attempting to update the firmware, your air fryer must be connected to your home's Wi-Fi network. To do this:
   - Make sure you have a stable and active Wi-Fi connection nearby.
   - Open the Cosori Smart App and navigate to the 'Device Setting' or 'Connection' section (the exact menu name may vary based on the app version).
   - Follow the in-app instructions for connecting your air fryer to Wi-Fi. Typically, this involves selecting your network from a list of available networks and entering the password.

3. **Check for Firmware Updates**: Once connected, open the companion app again.
   - Navigate to the main menu or settings area where you can find an option related to firmware updates. The location might be under 'Device Settings' or similarly named sections.
   - In this section, look for a notification or option stating that there's an available update.

4. **Initiate Firmware Update**: If an update is found:
   - Follow the in-app instructions for initiating the firmware update. This process may include agreeing to terms and conditions of the update and possibly selecting how you want your device to restart.
   - The air fryer will automatically initiate the update process. Ensure it's properly connected to power throughout this process.

5. **Restart Your Air Fryer**: After completing the update, the app might prompt you to restart your air fryer or simply tell you that the update is successful. If prompted, go ahead and restart the device as instructed.

### Method 2: Update Firmware from In-App Instructions

1. **Open the Companion App**: If there's no notification in the app about an available firmware update, navigate directly to the settings or 'Device Settings' section.
2. **Check for Manual Update Option**: Look for any buttons or links that indicate manual updates are possible or instructions on how to proceed if you suspect your air fryer has a newer firmware version.

### Tips:

- **Stability of Connection**: Ensure you have a stable Wi-Fi connection throughout the update process, as interruptions can cause issues.
- **Device Restart Required**: Be prepared for your air fryer to restart after updating. This is normal and part of the update process.
- **Firmware Update Frequency**: Manufacturers like Cosori typically release firmware updates periodically, so it's a good idea to keep an eye on the app or manufacturer's website for notifications about available updates.

If you encounter issues during the update process or if your air fryer doesn't seem to be connecting properly after the update, refer to the support resources provided by Cosori in their user manual or through their customer service.",0.9255216121673584,0.9737513065338135,0.9490240812301636,0.8125000000000001,0.7419354838709677,0.8125000000000001,0.36943527178861557,0.8766993314936734,0.7889462113380432,0.886583685874939,0.8349201083183289,0.0893854748603352,0.041121495327102804,0.08566108007448787,0.0037778334926768893,0.1366120218579235,0.6182955577969551,4.494412280619144,0.02859988436102867,0.0,0.589690413326025,4.494411217048764,0.0,0.0,1.6173494817950562,2.6699820245129344,4.65,2.65,237,3165,50,698,0.0,0.0,-6.0,94.0,0.0,0.0,-6.0,93.0,0.0,0.0,0.0,0.0
llama3.1:8b,Device Management,Evaluation/device_management.docx,2,How do I manage the Wi-Fi connection for Cosori Smart Air Fryer?,"To manage the Wi-Fi connection, open the VeSync app, select your device, and go to 'Wi-Fi Settings' to update or reconnect to a network.","To manage the Wi-Fi connection for the Cosori Smart Air Fryer, open the VeSync app, select the Cosori Smart Air Fryer, and go to 'Wi-Fi Settings' (MGMT-0002). This will allow you to update or reconnect to a network.","To manage the Wi-Fi connection for your Cosori Smart Air Fryer, follow these steps:

1. **Download and install the Cosori HomeApp**: You can download the Cosori HomeApp from either the Apple App Store (for iOS devices) or Google Play Store (for Android devices). This app allows you to control and monitor your air fryer remotely using your smartphone.
2. **Connect your air fryer to Wi-Fi**:
	* Make sure your air fryer is plugged in and turned on.
	* Press the ""Wi-Fi"" button on the air fryer's control panel, usually indicated by a small icon of a wireless signal or an ""iCloud"" symbol.
	* Use the Cosori HomeApp to search for available Wi-Fi networks. Select your home network from the list.
	* Enter your network password using the app.
3. **Configure your Wi-Fi settings**:
	* Using the HomeApp, navigate to the air fryer's settings menu (usually found under ""Meat"" or ""More"").
	* Look for the ""Wi-Fi Settings"" or ""Network"" option and select it.
	* Choose your desired Wi-Fi network from the list of available networks.
4. **Update firmware (if necessary)**:
	* Periodically, Cosori may release firmware updates to improve performance or fix issues with their air fryers.
	* To check for updates, open the HomeApp and navigate to the ""Meat"" or ""More"" menu.
	* If an update is available, select it to download and install the latest firmware.
5. **Monitor and adjust your Wi-Fi connection**:
	* Use the HomeApp to monitor your air fryer's Wi-Fi connectivity and signal strength.
	* Adjust your air fryer's location or router settings if you experience issues with the Wi-Fi connection.

Tips:

* Ensure that your smartphone and air fryer are connected to the same Wi-Fi network for remote control functionality.
* If you encounter any issues with Wi-Fi connectivity, try restarting both your smartphone and air fryer, then attempt to reconnect again.
* Consider resetting your air fryer's Wi-Fi settings if you experience persistent connection problems.

By following these steps, you should be able to manage the Wi-Fi connection for your Cosori Smart Air Fryer using the HomeApp. If you need further assistance or have specific questions, feel free to ask!",0.9131813049316406,0.9716516733169556,0.9415095448493958,0.7164179104477613,0.6153846153846154,0.7164179104477613,0.3918542424060259,0.8039173674719232,0.7979941368103027,0.8873744606971741,0.8403142690658569,0.12435233160621761,0.05208333333333333,0.09844559585492227,0.009488300111211356,0.19512062332131538,0.7248942721635103,3.532523987814784,0.028263645246624947,0.0,0.6966205816715956,3.532522840425372,0.0,0.0,1.3795115210587925,2.8308371109429507,3.45,3.5,215,2163,58,531,0.0,0.0,-77.0,77.0,0.0,0.0,-77.0,77.0,0.0,0.0,0.0,0.0
llama3.1:8b,Device Management,Evaluation/device_management.docx,3,How do I check alerts and notifications for Cosori Smart Air Fryer?,"Open the VeSync app, select your air fryer, and go to 'Notifications' to view or manage alerts related to cooking completion or maintenance.","To check alerts and notifications for Cosori Smart Air Fryer, open the VeSync app, select the Cosori Smart Air Fryer, and go to 'Notifications' (MGMT-0003). You can also adjust cooking notifications in this section by navigating to 'Notifications' from MGMT-0015.","To check alerts and notifications for your Cosori Smart Air Fryer, you can follow these steps:

**Method 1: Using the Cosori Smart App**

1. Download and install the Cosori Smart app from the App Store (for iOS devices) or Google Play Store (for Android devices).
2. Open the app and sign in with your Cosori account.
3. Tap on the ""Settings"" icon (usually represented by a gear or cog).
4. Scroll down to the ""Notifications"" section.
5. Toggle the switch to enable notifications for specific events, such as:
	* Cook completion
	* Timer alerts
	* Cooking temperature exceeded
	* Food burning prevention
6. You can also customize the notification preferences, including which types of alerts you want to receive and on which devices.

**Method 2: Using the Air Fryer's Display**

1. Make sure your air fryer is connected to Wi-Fi.
2. Press and hold the ""Cancel"" button until the menu appears on the display.
3. Scroll through the menu using the ""+"" or ""-"" buttons until you reach the ""Settings"" option.
4. Select ""Settings"" and navigate to the ""Notification"" section.
5. Here, you can enable or disable specific alert types, similar to the app.

**Method 3: Receiving Email Notifications**

1. Ensure that your Cosori account is linked to an email address.
2. Check your email inbox for notifications from Cosori regarding your air fryer's status.

By following these steps, you should be able to check alerts and notifications for your Cosori Smart Air Fryer using the app, display, or email.",0.8815176486968994,0.9259436130523682,0.9031846523284912,0.4615384615384615,0.28571428571428575,0.3692307692307692,0.12456068872271953,0.5173189383715701,0.8038753271102905,0.8761409521102905,0.8384538888931274,0.1259259259259259,0.02985074626865672,0.09629629629629628,0.002873567079033754,0.18599562363238514,0.8050899803638458,2.491656703874469,0.03152909316122532,0.0,0.7735489830374718,2.4916556924581528,0.0,0.0,1.2420971871403033,2.0066969868776106,3.5,3.2,263,1493,65,367,0.0,0.0,0.0,1.0,0.0,0.0,91.0,1.0,0.0,0.0,0.0,0.0
llama3.1:8b,Device Management,Evaluation/device_management.docx,4,How can I access cooking history for Cosori Smart Air Fryer?,"To access cooking history, open the VeSync app, select your air fryer, and navigate to 'History' to view past cooking sessions.","To access cooking history for the Cosori Smart Air Fryer, you can open the VeSync app, select the Cosori Smart Air Fryer, and navigate to 'History'. This is mentioned in two separate guides:

* MGMT-0004: To access cooking history, open the VeSync app, select the Cosori Smart Air Fryer, and navigate to 'History' to view past cooking sessions.
* MGMT-0033: To access cooking history, open the VeSync app, select the Cosori Smart Air Fryer, and navigate to 'History' to view past cooking sessions.","Accessing cooking history for your Cosori Smart Air Fryer is a convenient feature that allows you to recall and adjust previous cooking settings. The steps may slightly vary depending on your model, but here's how you can typically access the cooking history:

1.  **Open the Cosori App**: Download and install the Cosori app from your device's app store if you haven't already. If you have an older model without Wi-Fi connectivity, you might need to use a manual mode for some functions.

2.  **Connect Your Air Fryer**: Connect your air fryer to your home network using the app. This may involve creating an account and following the prompts in the app to connect your device.

3.  **Access Cooking History**: Once connected, go to the main menu of the app and look for a ""Cooking History"" or ""Recipe Library"" section. This is where you'll find all your previous cooking sessions with details on the recipe, time, temperature, and any other settings you adjusted.

4.  **View Previous Sessions**: From here, you can browse through your previous cooking sessions, adjust, duplicate, or delete them as needed. You can even save recipes to access later without having to recall exact settings each time.

5.  **Adjust Settings**: If a particular session didn't turn out as expected, you can use the app to adjust any setting before reheating or trying again.

6.  **Share Recipes**: The app also allows you to share your favorite recipes with friends or family via email or social media platforms.

Accessing cooking history for your Cosori Smart Air Fryer is designed to make meal planning and execution easier and more enjoyable. By leveraging the features of the app, you can refine your culinary skills and experiment with new dishes without worrying about remembering every detail.",0.8814491033554077,0.9438236951828003,0.9115706086158752,0.3846153846153846,0.3529411764705882,0.3846153846153846,0.18199468489289214,0.7323529411764707,0.80979323387146,0.8932006359100342,0.8494544625282288,0.10625,0.0440251572327044,0.10625,0.0019291439501492042,0.12448132780082988,1.1749084740877151,2.7175186667591333,0.017795460298657417,0.0,1.1571028251200914,2.7175173461437225,0.0,0.0,1.7022602561078741,2.2078965172881655,3.65,3.05,497,1786,125,386,0.0,0.0,69.0,-2.0,0.0,0.0,69.0,-2.0,0.0,0.0,0.0,0.0
llama3.1:8b,Device Management,Evaluation/device_management.docx,5,How do I manage cooking settings for Cosori Smart Air Fryer?,Use the VeSync app to set and save your favorite cooking settings by selecting the air fryer and adjusting the temperature and time presets.,"According to the given context, you can manage cooking settings for the Cosori Smart Air Fryer by:

1. Using the VeSync app to set and save your favorite cooking settings (MGMT-0005).
2. Selecting the Cosori Smart Air Fryer in the VeSync app and adjusting the temperature and time presets.
3. Navigating to 'Cooking Programs' in the VeSync app to review and adjust the preset programs (MGMT-0016).

Additionally, you can also schedule cooking times by selecting the Cosori Smart Air Fryer and navigating to 'Smart Schedules' (MGMT-0011), which also involves adjusting cooking settings.

Please note that specific instructions for managing cooking settings may vary depending on your specific model or firmware version. It's always a good idea to refer to the user manual or contact customer support if you're unsure about any feature or setting.","Managing cooking settings on a Cosori Smart Air Fryer is relatively straightforward and can be done using the provided touchscreen interface, mobile app (Cosori Home), or voice assistant integration. Here are steps for managing cooking settings via each method:

### Using Touchscreen Interface

1. **Turn On**: First, turn on your air fryer by pressing the Power button.
2. **Choose Presets**: Press the ""Start"" button to access preset options like french fries, steak, chicken, etc.
3. **Customize Settings**:
   - To adjust cooking time, press and hold the ""+"" or ""-"" buttons until you reach your desired cooking time (up to 60 minutes).
   - For temperature, use the ""+/–"" buttons on the right side of the interface. The temperature range is from 170°F to 400°F (77°C to 204°C).
   - Press ""Start"" when you're ready.

### Using the Cosori Home App

1. **Download and Install**: If you haven't done so already, download the Cosori Home app from your device's app store.
2. **Connect Air Fryer**: Open the app and register or connect to your air fryer using its serial number (found on the back of your device).
3. **Manage Cooking Settings**:
   - Tap the ""+"" icon at the bottom to select a preset or manually set up a new recipe.
   - Adjust cooking time by tapping the timer.
   - For temperature, tap ""Temperature"" and adjust as needed.

### Using Voice Assistants (Alexa, Google Assistant)

1. **Connect Smart Air Fryer**: Make sure your air fryer is connected to Wi-Fi via the app or on its interface.
2. **Enable Skill/Action**:
   - In Alexa: Go to Skills & Games > Search for Cosori and enable it.
   - For Google Home: Open the Google Assistant settings, search for Cosori, and enable it.
3. **Control with Voice Commands**: Use voice commands like ""Alexa, set Cosori air fryer to 400 degrees Fahrenheit"" or ""Ok Google, turn on Cosori's grill mode.""

### Additional Tips

- Always refer to your user manual for the latest instructions, as there may be updates specific to your model.
- For more complex recipes or settings not covered by presets, you can manually set temperature and time via the interface.

By following these steps, you should be able to easily manage cooking settings on your Cosori Smart Air Fryer.",0.8352386951446533,0.9343549013137817,0.8820210695266724,0.294478527607362,0.26086956521739135,0.28220858895705525,0.12189633825607758,0.5410714285714285,0.7823948264122009,0.8777815103530884,0.8273479342460632,0.10824742268041238,0.036269430051813475,0.09278350515463916,0.004397529922333524,0.23489406779661018,1.6204386875033379,3.6995245553553104,0.03146951086819172,0.0,1.5889589469879866,3.699523240327835,0.0,0.0,3.085584193071074,2.9733550447922514,3.1,3.5,845,2237,189,561,0.0,0.0,66.0,3.0,0.0,0.0,66.0,7.0,0.0,0.0,0.0,0.0
llama3.1:8b,Device Management,Evaluation/device_management.docx,6,How do I troubleshoot Wi-Fi connection issues with Cosori Smart Air Fryer?,"If experiencing Wi-Fi issues, check if your router settings have changed or reconnect the air fryer using the VeSync app by navigating to 'Wi-Fi Settings.'","To troubleshoot Wi-Fi connection issues with the Cosori Smart Air Fryer, follow these steps:

1. Check if your router settings have changed (MGMT-0006).
2. Reconnect the Cosori Smart Air Fryer using the VeSync app by navigating to 'Wi-Fi Settings' in the app.

If you're still experiencing Wi-Fi issues after following these steps, refer to MGMT-0006 for further instructions on how to reconnect your air fryer.","Troubleshooting Wi-Fi connection issues with your Cosori Smart Air Fryer involves a series of steps that help you identify and possibly fix the problem. Here's how you can go about it:

### 1. Restart Your Device
- **Restart Your Air Fryer:** Sometimes, simply restarting the device resolves connectivity issues.
- **Check the Power Connection:** Ensure your air fryer is properly plugged into a power source.

### 2. Check Wi-Fi Network
- **Ensure Your Router Is On and Functioning Properly:** Make sure your router is turned on, and it’s functioning correctly. A dead or malfunctioning router can cause connectivity issues.
- **Check the Wi-Fi Signal Strength:** Move closer to your router if you’re experiencing low signal strength.

### 3. Update Air Fryer App
- Ensure Your Cosori Smart Air Fryer app is up-to-date. Go to your device’s app store (Google Play Store or Apple App Store), search for ""Cosori Smart Air Fryer,"" and check for any available updates.
- If you have an old version of the app, updating it might fix connectivity issues.

### 4. Reset Your Wi-Fi Network Settings
- **For Android Devices:** Go to **Settings > System > Advanced > Reset Options > Reset Wi-Fi & Google Service** (the steps may slightly vary depending on your device model).
- **For iOS Devices:** Go to **Settings > General > Transfer or Reset iPhone > Reset > Reset All Settings**.

### 5. Check Your Air Fryer’s WiFi Setting
- Ensure the WiFi settings in the air fryer are properly configured, specifically the Network Name (SSID) and Password.
- Make sure the network it's connected to is listed as an available option in the air fryer’s Wi-Fi settings.

### 6. Forget/Reset Wi-Fi Settings in Your Air Fryer
Some devices have a feature that allows you to forget the current network or reset its Wi-Fi settings, similar to how your phone would forget a saved network.
- Check your user manual for instructions on this process as it can vary between models.

### 7. Re-Pair Your Air Fryer with Your Network
- This involves unpairing and then pairing again. Instructions may be found in the user manual or by checking the Cosori Smart Air Fryer’s app settings.
- **Unpair:** Go to your air fryer’s settings, select “Forget Network” or an equivalent option.
- **Re-Pair:** Follow the on-screen instructions for reconnecting your air fryer to your Wi-Fi network.

### 8. Contact Support
If none of these steps resolve the issue, it might be worth contacting Cosori customer support directly. They can provide specific troubleshooting tips tailored to your device or guide you through more in-depth troubleshooting processes.

Troubleshooting involves a step-by-step process. Ensure each step is completed before moving on to the next one to isolate and address any potential issues efficiently.",0.8740649223327637,0.9519777297973633,0.9113591313362122,0.5306122448979591,0.4375,0.48979591836734687,0.18915134829484473,0.6608720433171845,0.790005087852478,0.8689173460006714,0.8275843262672424,0.0954356846473029,0.029166666666666667,0.06639004149377593,0.003284753185319147,0.1596847613030731,1.0399743393063545,4.369736904278398,0.028589554131031036,0.0,1.0113747287541628,4.369735572487116,0.0,0.0,1.9231243737534403,2.746160755869336,2.6,2.65,411,2802,105,673,0.0,0.0,15.0,78.0,0.0,0.0,15.0,78.0,0.0,0.0,0.0,0.0
llama3.1:8b,Device Management,Evaluation/device_management.docx,7,How do I reset Cosori Smart Air Fryer?,"To reset the air fryer, unplug it from the power source, wait 30 seconds, and plug it back in.","According to MGMT-0007 and MGMT-0017, you can reset the Cosori Smart Air Fryer by:

* Unplugging it from the power source, waiting 30 seconds, and plugging it back in (MGMT-0007)
* Opening the VeSync app, selecting the Cosori Smart Air Fryer, and going to 'Device Settings' to initiate a factory reset (MGMT-0017)","Resetting your Cosori Smart Air Fryer can be a bit tricky, but don't worry, I've got you covered. Here are the steps to reset your Cosori Smart Air Fryer:

**Method 1: Soft Reset**

1. Unplug the air fryer from the power source.
2. Press and hold the ""Start"" button for 10-15 seconds.
3. Release the ""Start"" button and plug in the air fryer again.
4. The air fryer should now turn on and reset.

**Method 2: Hard Reset (if soft reset doesn't work)**

1. Unplug the air fryer from the power source.
2. Press and hold both the ""Start"" button and the ""-"" (-) button simultaneously for 10-15 seconds.
3. Release the buttons and plug in the air fryer again.
4. The air fryer should now turn on and reset.

**Alternative Method (for some models)**

1. Check your user manual or online documentation to see if there's a specific reset procedure mentioned.
2. Some Cosori Smart Air Fryers have a ""Reset"" button located on the back or bottom of the unit. If you find one, press it for 3-5 seconds to reset the air fryer.

**Tips and Precautions**

* Make sure your air fryer is completely unplugged before attempting any reset method.
* Avoid using force or pressure while pressing buttons, as this can damage the air fryer's electronics.
* If you're still having issues after resetting your air fryer, try checking for software updates on the Cosori app.

I hope these steps help you successfully reset your Cosori Smart Air Fryer!",0.8423398733139038,0.9453880786895752,0.8908940553665161,0.5205479452054794,0.4225352112676056,0.5205479452054794,0.10426904695115764,0.7567264573991032,0.8015279173851013,0.8841784596443176,0.8408270478248596,0.11636363636363636,0.05860805860805861,0.10181818181818182,0.007609218906038345,0.16548463356974,0.957213880494237,2.5843578316271305,0.030584191903471947,0.0,0.9266177266836166,2.5843561682850122,0.0,0.0,2.0893971982219983,3.095546561740791,3.5,3.1,313,1423,91,374,0.0,0.0,91.0,2.0,0.0,0.0,91.0,3.0,0.0,0.0,0.0,0.0
llama3.1:8b,Device Management,Evaluation/device_management.docx,8,How can I control power settings for Cosori Smart Air Fryer?,Use the VeSync app to turn the air fryer on or off remotely by selecting the device and tapping the power icon.,"To control power settings for the Cosori Smart Air Fryer, you can use the VeSync app. Specifically:

* You can track power consumption by opening the VeSync app, selecting the Cosori Smart Air Fryer, and going to ""Energy Usage"" (MGMT-0039).
* To adjust cooking notifications related to power usage, navigate to ""Notifications"" in the VeSync app (MGMT-0015).

Note that there is no specific instruction on how to directly control or change power settings for the Cosori Smart Air Fryer.","Controlling the power settings on your Cosori Smart Air Fryer is a relatively straightforward process, which allows you to customize cooking times and temperatures based on your specific needs. Here's how you can do it:

### 1. Understanding Your Device
- **App Control:** The first step is to understand that your Cosori Smart Air Fryer likely comes with an app (e.g., Cosori Home) that allows remote control of the device, including power settings.
- **Touchscreen:** If your model has a touchscreen interface on the fryer itself, you can also adjust settings directly from the device.

### 2. Adjusting Power Settings via App
1. **Download and Install App:** Ensure you have downloaded and installed the relevant app for your air fryer (Cosori Home is common but check your specific model's instructions).
2. **Connect to Wi-Fi:** Connect your air fryer to your home’s Wi-Fi network.
3. **Access Menu:** Open the app, log in if required, and navigate to the main menu or settings section.
4. **Power Settings:** Look for an option related to ""power"" or ""smart functions."" This might be within a sub-menu of cooking settings or power management.
5. **Adjust Settings:** Within this section, you can set custom power levels or adjust standard options based on your food type and desired outcome.

### 3. Adjusting Power Settings Directly on the Fryer
If your model doesn’t require Wi-Fi for all functions (some higher-end models offer more features), or if you prefer to make adjustments directly on the device:

1. **Access Touchscreen:** Go to the touchscreen interface of your air fryer.
2. **Select Menu Option:** Find an option related to power settings within a menu that looks like a gear, settings icon, or similar.
3. **Adjust Power Levels:** Adjust the power levels according to your needs.

### 4. Additional Tips
- **Understanding Default Settings:** Familiarize yourself with the default settings for different types of food to get started.
- **Experimenting with Power:** Remember, adjusting power levels can significantly affect cooking times and outcomes. Experiment with different settings under guidance or review recipe recommendations.

By following these steps, you should be able to control your Cosori Smart Air Fryer's power settings effectively. Enjoy the flexibility and convenience that smart kitchen appliances offer!",0.8439863324165344,0.8960432410240173,0.8692360520362854,0.31683168316831684,0.10101010101010101,0.198019801980198,0.01813466965960293,0.33964632220216606,0.7802931666374207,0.8571391701698303,0.8169129490852356,0.08651399491094147,0.015345268542199489,0.06615776081424937,0.0019097690562125658,0.1590106007067138,1.1282428279519081,3.5013193413615227,0.029481694102287292,0.0,1.0987484846264124,3.5013181790709496,0.0,0.0,1.7726680378145656,1.9992463747329312,3.65,2.7,485,2350,117,522,0.0,0.0,-3.0,3.0,0.0,0.0,-3.0,3.0,0.0,0.0,0.0,0.0
llama3.1:8b,Device Management,Evaluation/device_management.docx,9,How do I schedule maintenance reminders for Cosori Smart Air Fryer?,Set maintenance reminders in the VeSync app by selecting your air fryer and navigating to 'Reminders' to schedule regular cleaning.,"To schedule maintenance reminders for the Cosori Smart Air Fryer, you can use the VeSync app. Here's how:

1. Open the VeSync app.
2. Select the Cosori Smart Air Fryer from the list of connected devices.
3. Navigate to 'Reminders'.
4. Schedule regular cleaning by setting a reminder.

Alternatively, this information is also mentioned in MGMT-0009: ""Set maintenance reminders in the VeSync app by selecting the Cosori Smart Air Fryer and navigating to 'Reminders' to schedule regular cleaning.""","Scheduling maintenance reminders for your Cosori Smart Air Fryer can be done through the Cosori app, which is available for both iOS and Android devices. Here's a step-by-step guide on how to set up maintenance reminders:

**Method 1: Using the Cosori App**

1. Download and install the Cosori app from the App Store (for iOS) or Google Play Store (for Android).
2. Open the app and log in with your account credentials.
3. Tap on ""My Devices"" and select your Smart Air Fryer model from the list.
4. Tap on ""Settings"" and then scroll down to the ""Maintenance"" section.
5. Here, you'll find options for scheduling maintenance reminders. Choose the type of maintenance reminder you want (e.g., ""Clean Filter,"" ""Deep Clean,"" or ""Replace Parts"").
6. Set the frequency for each reminder (e.g., daily, weekly, monthly).
7. Save your changes.

**Method 2: Using the Smart Air Fryer's Built-in Functionality**

Some Cosori models have a built-in maintenance reminder function on the air fryer itself. Check your user manual to see if this feature is available on your model. If it is, follow these steps:

1. Press and hold the ""Start"" button for 3 seconds to access the settings menu.
2. Scroll through the menu using the ""+"" or ""-"" buttons until you reach the ""Maintenance"" option.
3. Use the ""+"" or ""-"" buttons to select the type of maintenance reminder you want (e.g., ""Clean Filter,"" ""Deep Clean,"" or ""Replace Parts"").
4. Press the ""Start"" button to save your changes.

**Additional Tips**

* Make sure you have the latest firmware version installed on your air fryer to ensure that the maintenance reminder feature is up-to-date.
* If you're using a third-party cleaning solution, be sure to read and follow the manufacturer's instructions for use.
* Regularly cleaning and maintaining your Cosori Smart Air Fryer can help prevent food residue buildup, reduce odors, and prolong its lifespan.

By following these steps, you'll be able to schedule maintenance reminders for your Cosori Smart Air Fryer using either the app or the air fryer's built-in functionality.",0.8650982975959778,0.929163932800293,0.895987331867218,0.38,0.3469387755102041,0.38,0.15409991728517858,0.6901976265671357,0.7850182056427002,0.8763378858566284,0.8281682729721069,0.09164420485175201,0.027100271002710025,0.07547169811320754,0.004461126433340674,0.19457264957264958,1.127154402434826,3.326517976820469,0.022772029042243958,0.0,1.1043726559728384,3.326516691595316,0.0,0.0,2.661569695790402,2.404917110247442,3.05,2.65,494,2062,120,504,0.0,0.0,100.0,-8.0,0.0,0.0,100.0,-8.0,0.0,0.0,0.0,0.0
llama3.1:8b,Device Management,Evaluation/device_management.docx,10,How can I monitor energy usage of Cosori Smart Air Fryer?,"Open the VeSync app, select the air fryer, and go to 'Energy Usage' to track power consumption.","You can monitor the energy usage of your Cosori Smart Air Fryer by opening the VeSync app, selecting the Cosori Smart Air Fryer, and going to 'Energy Usage' (MGMT-0010 or MGMT-0039).","Monitoring energy usage is a fantastic way to optimize your appliance's performance and reduce waste. Here are some ways you can monitor the energy usage of your Cosori Smart Air Fryer:

**1. Check the user manual**: The user manual should provide information on how to measure energy consumption or estimate it based on various factors.

**2. Use a power meter**: A simple and accurate way is to use a power meter, which measures the actual electrical power being consumed by your air fryer in real-time. You can find power meters online or at most hardware stores.

**3. Install a smart plug**: If your Cosori Smart Air Fryer is connected to Wi-Fi, you can install a smart plug that allows you to monitor energy usage remotely through an app. Some popular options include:
	* TP-Link Kasa Smart Plug
	* Belkin WeMo Insight Smart Plug
	* Amazon Smart Plug

**4. Use the Cosori Smart Air Fryer app**: If your air fryer is connected to Wi-Fi, you can use the associated app (available for iOS and Android) to monitor energy consumption in real-time. The app may also provide features like scheduling, cooking time tracking, and notifications.

**5. Check energy reports on the app**: Some smart home platforms, such as IFTTT or Samsung SmartThings, allow you to integrate your Cosori air fryer with other devices to track energy usage. You can check the app for specific instructions on how to set up this feature.

**6. Use a third-party energy monitoring device**: Devices like Sense Home Energy Monitor or Neurio Home Energy Monitor can be installed in your electrical panel to monitor overall energy consumption, including that of your air fryer.

**7. Check local electricity bills and usage patterns**: This method is more indirect but still helpful for identifying trends and optimizing energy use over time.

To give you a rough idea, here are some estimated energy consumption values for the Cosori Smart Air Fryer:
	* Average power consumption: 1200-1800 watts
	* Estimated annual energy consumption: approximately 200-400 kWh (depending on usage patterns)

Keep in mind that these estimates may vary depending on specific models and usage scenarios.",0.8873366117477417,0.9534764885902405,0.9192183613777161,0.5199999999999999,0.4583333333333333,0.5199999999999999,0.053955441309494145,0.696231026498585,0.7923583984375,0.8704860806465149,0.8295868635177612,0.06951871657754011,0.02150537634408602,0.06417112299465241,0.00151303635855109,0.08893280632411067,0.7014925368130207,3.3428874630481005,0.032001979649066925,0.0,0.6694810409098864,3.342886220663786,0.0,0.0,2.8510638318184576,2.6922832729163058,3.5,3.5,182,2159,49,478,0.0,0.0,0.0,74.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0
