question,rag_memory_diff,rag_elapsed_time,rag_estimated_cpu_usage,rag_psutil_cpu_usage,rag_gpu_load_diff_avg,rag_gpu_memory_used_diff_avg,no_context_memory_diff,no_context_elapsed_time,no_context_estimated_cpu_usage,no_context_psutil_cpu_usage,no_context_gpu_load_diff_avg,no_context_gpu_memory_used_diff_avg
"""Why is Amazon Echo not connecting to Bluetooth speakers?""",10.0,1.0780043601989746,14.842240524005618,5.8500000000000005,42.5,0.0,0.0,5.679282188415527,0.7043143600363992,3.8499999999999996,42.5,0.0
"""Why is my Amazon Echo not responding to routines?""",0.0,0.8337900638580322,2.398685336625141,3.15,21.5,0.0,0.0,6.628875255584717,0.7542757718645505,3.2,32.0,0.0
"""What if Amazon Echo keeps saying Im having trouble understanding?""",0.0,1.0163660049438477,1.9677950563788706,3.3,0.0,0.0,0.0,5.658710479736328,0.8835935356482499,3.55,18.5,0.0
"""How do I fix Amazon Echo not syncing calendars?""",0.0,0.8505427837371826,2.3514396197828433,3.05,31.5,0.0,0.0,5.880649566650391,0.8502462089146192,3.7,30.5,0.0
"""How to resolve Amazon Echo network congestion issues?""",0.0,0.8338706493377686,2.3984535270408345,3.0,29.0,0.0,0.0,7.317085266113281,0.9566650852653464,3.5,36.5,0.0
"""What to do if Amazon Echo does not respond after a recent update?""",0.0,0.9435644149780273,1.0598110570153978,3.1,38.0,1.0,0.0,5.65597939491272,1.591236348579186,3.5,31.5,0.0
"""How to fix issues with Amazon Echo connected to multiple Alexa accounts?""",0.0,0.8037893772125244,1.2441070115505837,3.8,30.5,0.0,0.0,6.288780212402344,0.954080091424926,3.4,39.5,0.0
"""Why is my Amazon Echo not discovering my smart home devices?""",0.0,0.8453855514526367,1.1828922298017348,3.45,28.0,0.0,0.0,6.74850058555603,1.7781727730281132,3.15,16.000000000000004,0.0
"""Why is my Amazon Echo unable to send messages?""",0.0,0.8215858936309814,1.2171581909476317,3.1,30.0,0.0,0.0,5.618709087371826,1.2458377700551688,3.95,34.0,0.0
"""How to fix Amazon Echos inability to play podcasts?""",0.0,0.7662363052368164,1.305080421229733,2.8499999999999996,10.500000000000002,0.0,0.0,5.220508813858032,1.5324176790514752,3.7,32.0,0.0
"""How to troubleshoot Amazon Echo failing to connect to a new smart camera?""",0.0,0.8159902095794678,1.2255048997650877,3.45,26.0,0.0,0.0,6.36228084564209,1.1002343608887921,3.0999999999999996,37.0,0.0
"""How to prevent Amazon Echo from connecting to unknown Bluetooth devices?""",0.0,0.7557361125946045,2.646426400259763,3.15,30.5,0.0,0.0,4.44753623008728,0.8993743486427804,3.2,32.0,0.0
"""What if Amazon Echo is sharing my calendar information?""",0.0,0.7124636173248291,1.403580443524676,3.45,39.5,0.0,0.0,5.798356771469116,1.0347759264354206,3.7,28.5,0.0
"""How to block Amazon Echo from connecting to new devices without approval?""",0.0,0.734238862991333,1.3619546041541835,3.0,29.0,0.0,0.0,6.344327688217163,0.9457266860826551,3.75,34.0,0.0
"""How to fix Apple HomePod not playing music?""",0.0,0.7904069423675537,1.2651710737820927,3.05,36.0,0.0,0.0,5.52336573600769,0.9052451419981632,3.3,31.0,0.0
"""What if Apple HomePod is not pairing with my iPhone?""",0.0,0.8253953456878662,1.211540633496789,3.4000000000000004,26.0,0.0,0.0,5.2269446849823,1.5305308324737126,3.5999999999999996,41.0,0.0
"""How to resolve Apple HomePod not recognizing voice commands for HomeKit devices?""",0.0,0.8314838409423828,1.202669193025572,3.1500000000000004,32.0,0.0,0.0,6.777841329574585,0.8852376012137283,3.8499999999999996,39.0,0.0
"""Why is Apple HomePod not making calls?""",0.0,0.7803940773010254,1.281403881816066,3.05,24.5,0.0,0.0,6.039451837539673,1.8213573509481082,3.25,33.5,0.0
"""How to resolve Apple HomePod not detecting Apple TV?""",0.0,0.7333369255065918,1.3636296840082784,3.3,2.0000000000000018,0.0,0.0,5.173295021057129,1.7397036054133606,3.3,33.0,0.0
"""How to fix Apple HomePod failing to send messages?""",0.0,0.6787605285644531,1.473273647945844,3.1,32.0,0.0,0.0,5.176995277404785,0.7726489567139618,3.5999999999999996,22.0,0.0
"""What if Apple HomePod is not pausing music on command?""",0.0,0.7269465923309326,1.3756168755034481,3.35,36.5,0.0,0.0,5.14127516746521,1.5560342015197424,3.25,39.0,0.0
"""What if Apple HomePod is not recognizing commands for multi-room audio?""",0.0,0.8095364570617676,1.2352748184185316,2.8499999999999996,32.0,0.0,0.0,5.744981527328491,1.5665846717152492,3.25,29.0,0.0
