question,rag_memory_diff,rag_elapsed_time,rag_estimated_cpu_usage,rag_psutil_cpu_usage,rag_response_size,rag_token_count,rag_gpu_memory_used_nvml,rag_gpu_utilization_nvml,rag_gpu_memory_used_smi,rag_gpu_utilization_smi,rag_gpu_utilization_torch_diff,no_context_memory_diff,no_context_elapsed_time,no_context_estimated_cpu_usage,no_context_psutil_cpu_usage,no_context_response_size,no_context_token_count,no_context_gpu_memory_used_nvml,no_context_gpu_utilization_nvml,no_context_gpu_memory_used_smi,no_context_gpu_utilization_smi,no_context_gpu_utilization_torch_diff
"""Why is Amazon Echo not connecting to Bluetooth speakers?""",17.0,5.181035041809082,2.5091511435639267,8.7,245,46,0.0,0,0.0,0.0,0.0,0.0,4.20663857460022,0.9508779822806969,6.3,2295,438,0.0,0,0.0,0.0,0.0
"""Why is my Amazon Echo not responding to routines?""",0.0,0.8047530651092529,1.2426171994316144,5.8,249,44,0.0,-18,0.0,-18.0,0.0,0.0,5.0337934494018555,0.9932866833449744,6.05,2727,538,0.0,-2,0.0,-2.0,0.0
"""What if Amazon Echo keeps saying Im having trouble understanding?""",0.0,1.0343389511108398,0.9668010654786011,5.8,332,60,0.0,-8,0.0,-8.0,0.0,0.0,4.970036745071411,1.0060287793562483,6.2,2469,532,0.0,-7,0.0,-7.0,0.0
"""How do I fix Amazon Echo not syncing calendars?""",0.0,0.8348901271820068,1.1977623970417102,5.75,232,45,0.0,-12,0.0,-12.0,0.0,0.0,5.357332944869995,0.9333002170021757,5.95,2815,568,0.0,-2,0.0,-2.0,0.0
"""How to resolve Amazon Echo network congestion issues?""",0.0,0.8264861106872559,2.41988337630608,5.85,266,44,0.0,-21,0.0,-21.0,0.0,0.0,4.629871129989624,1.079943665734632,5.85,2621,494,0.0,-6,0.0,-6.0,0.0
"""What to do if Amazon Echo does not respond after a recent update?""",0.0,0.8839163780212402,1.1313287374973258,5.75,244,48,0.0,-11,0.0,-11.0,0.0,0.0,4.115105867385864,0.7290213415349809,6.2,2010,453,0.0,0,0.0,-23.0,0.0
"""How to fix issues with Amazon Echo connected to multiple Alexa accounts?""",0.0,0.7773196697235107,1.2864720126735947,5.6,226,39,0.0,-19,0.0,-19.0,0.0,0.0,4.470722436904907,0.6710324880013897,6.15,2441,491,0.0,-21,0.0,-21.0,0.0
"""Why is my Amazon Echo not discovering my smart home devices?""",0.0,0.8540103435516357,0.0,5.55,262,46,0.0,-21,0.0,-21.0,0.0,0.0,5.292453765869141,0.7557930927608253,5.4,2842,552,0.0,-2,0.0,-2.0,0.0
"""Why is my Amazon Echo unable to send messages?""",0.0,0.7733993530273438,1.292993065077756,5.6,233,41,0.0,0,0.0,-28.0,0.0,0.0,3.9896857738494873,1.0025852226804954,6.25,2060,426,0.0,-8,0.0,-8.0,0.0
"""How to fix Amazon Echos inability to play podcasts?""",0.0,0.7486999034881592,1.3356486294989804,5.6,219,40,0.0,-21,0.0,-21.0,0.0,0.0,4.2030415534973145,0.9516917568116182,6.25,2075,448,0.0,-3,0.0,-3.0,0.0
"""How to troubleshoot Amazon Echo failing to connect to a new smart camera?""",0.0,0.8094158172607422,2.47091786119107,5.6,240,45,0.0,-13,0.0,-13.0,0.0,0.0,5.214810609817505,0.9588075913221034,6.05,2613,550,0.0,-21,0.0,-21.0,0.0
