model,use_case,qa_file,qa_index,question,reference_answer,rag_answer,no_context_answer,rag_bert_Precision,rag_bert_Recall,rag_bert_F1,rag_rouge1,rag_rouge2,rag_rougeL,rag_bleu,rag_meteor,no_context_bert_Precision,no_context_bert_Recall,no_context_bert_F1,no_context_rouge1,no_context_rouge2,no_context_rougeL,no_context_bleu,no_context_meteor,rag_total_time_s,no_context_total_time_s,rag_retrieval_time_s,no_context_retrieval_time_s,rag_llm_time_s,no_context_llm_time_s,rag_rss_diff_mb,no_context_rss_diff_mb,rag_est_cpu_usage_pct,no_context_est_cpu_usage_pct,rag_psutil_cpu_usage_pct,no_context_psutil_cpu_usage_pct,rag_response_bytes,no_context_response_bytes,rag_response_token_count,no_context_response_token_count,rag_nvml_gpu_memory_used_diff_mb,no_context_nvml_gpu_memory_used_diff_mb,rag_nvml_gpu_utilization_diff_pct,no_context_nvml_gpu_utilization_diff_pct,rag_smi_gpu_memory_used_diff_mb,no_context_smi_gpu_memory_used_diff_mb,rag_smi_gpu_utilization_diff_pct,no_context_smi_gpu_utilization_diff_pct,rag_torch_memory_allocated_diff_mb,no_context_torch_memory_allocated_diff_mb,rag_torch_memory_reserved_diff_mb,no_context_torch_memory_reserved_diff_mb
mistral:7b,Safety,Evaluation/safety.docx,1,How do I prevent Amazon Echo from listening to private conversations?,"To prevent Amazon Echo from listening to private conversations, use the mute button to disable the microphone when not in use. You can also manage voice recordings in the Alexa app and delete them regularly."," To prevent Amazon Echo from listening to private conversations, you can use the mute button to disable the microphone when not in use. Additionally, you can manage voice recordings in the Alexa app and delete them regularly."," To prevent Amazon Echo devices from inadvertently listening to private conversations, you can follow these steps:

1. Mute the Device: You can mute the microphone by pressing the Action (or Microphone) button on the top of the device. The LED ring will turn off or turn orange to indicate that the device is muted and is not recording.

2. Turn Off the Echo Wake Word: By default, Alexa listens for the wake word (""Alexa,"" ""Echo,"" or any other custom name you've set) to activate. You can turn off this feature in the Amazon Alexa app by going to Settings > Alexa Preferences > Wake Word and choose ""Off.""

3. Use Drop In Feature with Caution: The Drop In feature allows certain approved devices to drop in (i.e., connect) to your Echo device without being activated. To manage this feature, go to the Communication settings in the Amazon Alexa app, select a contact or device, and set the communication preference.

4. Review and Manage Your Alexa Privacy Settings: In the Amazon Alexa app, go to Settings > Alexa Privacy > Review Your History to view, playback, delete your voice recordings associated with your account. You can also choose to automatically delete old recordings under Settings > Alexa Privacy > Manage Your Alexa Data > Account Settings > Automatic Delete.

5. Use a Visible Cover or Case: There are various covers and cases available for Amazon Echo devices that keep the microphone physically covered when not in use, providing additional privacy.",0.9899158477783203,0.9928688406944275,0.9913901090621948,0.9444444444444445,0.8571428571428571,0.9444444444444445,0.775158446870444,0.965122680088078,0.8279954195022583,0.9261560440063477,0.8743292689323425,0.2302158273381295,0.10869565217391304,0.1726618705035971,0.0340437084088147,0.38750636526667703,0.4375357497483492,2.0990692004561424,0.024781690910458565,0.0,0.41274916008114815,2.099067648872733,0.0,0.0,2.2855275268294823,2.858409812618482,3.2,3.4,225,1470,41,310,0.0,0.0,10.0,-10.0,0.0,0.0,10.0,-10.0,0.0,0.0,0.0,0.0
mistral:7b,Safety,Evaluation/safety.docx,2,What if Amazon Echo activates on its own without a wake word?,"If Amazon Echo activates on its own without a wake word, reduce the sensitivity of the wake word in the Alexa app. You can also review and delete the voice history to maintain privacy."," If Amazon Echo activates on its own without a wake word, you can reduce the sensitivity of the wake word in the Alexa app to maintain privacy. Additionally, reviewing and deleting the voice history can also help."," If an Amazon Echo device activates on its own without a wake word, it could be due to a malfunction or a glitch in the device's software. Here are some potential causes and solutions:

1. Misinterpretation of background noise: The Echo might be mistakenly triggered by certain phrases or sounds that resemble the wake word (Alexa). To address this, you can adjust the sensitivity level for the wake word detection in the Alexa app's settings.

2. Software glitch: A temporary software issue could cause the device to activate without a command. Restarting the Echo should resolve most software-related problems.

3. Malfunctioning hardware: If the Echo continues to activate on its own after being restarted, there might be an underlying hardware problem that requires attention. In this case, you should contact Amazon customer support for further assistance.

4. Device proximity: Keeping your Echo too close to other electronics or speakers could result in false activations due to interference. Move the device away from potential sources of noise and see if that helps.

5. Firmware update: Ensure your Echo is running the latest firmware version. If not, perform an over-the-air update through the Alexa app's settings menu under ""Device Settings"" and ""About.""

6. External devices triggering Echo: Certain smart home devices or other third-party products may inadvertently cause your Echo to activate. Review your smart home integrations and check for any potential conflicts that might be causing the issue.",0.9815324544906616,0.9870600700378418,0.9842885136604309,0.9577464788732395,0.8405797101449276,0.7887323943661971,0.5998346403112303,0.9592077681131485,0.8144708871841431,0.9038283824920654,0.8568261861801147,0.19424460431654675,0.10869565217391304,0.1726618705035971,0.04488152748685391,0.37275200135302744,0.4863676242530346,2.0867604203522205,0.03213008493185043,0.0,0.4542278107255697,2.0867590978741646,0.0,0.0,2.056057907774356,3.3544818713951137,2.9,3.4,213,1516,41,306,0.0,0.0,0.0,-22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mistral:7b,Safety,Evaluation/safety.docx,3,Why should I use Voice ID on Amazon Echo?,"Using Voice ID on Amazon Echo helps personalize the experience for each user and restricts access to sensitive information and actions to only recognized voices, enhancing security."," You should use Voice ID on Amazon Echo to personalize the experience for each user and restrict access to sensitive information and actions to only recognized voices, enhancing security."," Using Voice ID (also known as Personal Voice Profile) on an Amazon Echo offers several benefits:

1. Personalized Experience: Voice ID allows Alexa to recognize your voice, providing a more personalized and secure experience. It ensures that Alexa only responds to you, reducing the risk of unauthorized access or accidental activation by others in your household.

2. Improved Accuracy: With Voice ID, Alexa can better understand your commands and provide more accurate responses tailored to your preferences, such as playing your favorite music, setting reminders for specific tasks, or providing personalized news updates.

3. Enhanced Security: By enabling Voice ID, you add an extra layer of security to your smart home devices connected to Alexa. This means that only you can give commands to control these devices, keeping them safe from unauthorized access.

4. Hands-Free Convenience: With Voice ID, you can interact with Alexa hands-free without having to press a button or say the wake word each time. This makes it more convenient for everyday tasks and interactions, especially when your hands are busy or you're in another room.",0.9714775085449219,0.9797807931900024,0.9756114482879639,0.9285714285714286,0.888888888888889,0.9285714285714286,0.6989969645773451,0.9556648103028192,0.8325028419494629,0.9034883975982666,0.8665443062782288,0.20095693779904306,0.03864734299516908,0.13397129186602869,0.00820565751513053,0.2468770112924931,0.38578401505947113,1.5755352471023798,0.024581992998719215,0.0,0.3611893579363823,1.5755338314920664,0.0,0.0,5.1842479779517765,1.9041148114534001,3.6,4.8,187,1143,32,223,0.0,0.0,32.0,-32.0,0.0,0.0,0.0,-32.0,0.0,0.0,0.0,0.0
mistral:7b,Safety,Evaluation/safety.docx,4,Why should I review Alexa's app permissions on my mobile device?,"Reviewing Alexa's app permissions on your mobile device helps you control what data the app can access, ensuring that unnecessary permissions are disabled to protect your privacy."," Reviewing Alexa's app permissions on your mobile device is important because it ensures that only trusted users and services have access, reducing the risk of unauthorized control over your Amazon Echo Dot. It also allows you to disable any services or features that are not essential or that you do not trust, helping to prevent unauthorized data sharing and maintain privacy."," Reviewing Alexa's app permissions is important for maintaining your privacy and security. Here are a few reasons why you should do so:

1. Awareness of Data Access: By checking the permissions, you can understand what kind of data the Alexa app has access to on your device. This could include things like your contacts, photos, location, microphone, and more.

2. Privacy Protection: If you notice any permission that seems unnecessary for the functioning of the Alexa app, it might be a sign of potential privacy concerns. For example, if the Alexa app has access to your contacts or photos without a clear reason, you may want to reconsider its need for these permissions.

3. Security: Reviewing permissions can also help ensure the security of your device. If the app asks for unnecessary permissions, it could potentially open up opportunities for malicious activities.

4. Compliance with Privacy Policies: When you install an app like Alexa, you agree to their terms and conditions. By checking the permissions, you can ensure that the app is not asking for more access than what was agreed upon in the terms.

5. Better User Experience: Understanding the permissions can also help you manage your device better. For instance, if the app needs location services but doesn't provide a clear explanation why, you might be able to adjust settings to improve your privacy while still enjoying the functionality of the app.",0.8948096036911011,0.9456580281257629,0.9195314049720764,0.48888888888888893,0.20454545454545456,0.3111111111111111,0.13180524032129595,0.5075560926124837,0.8265255689620972,0.910474419593811,0.8664714097976685,0.1893939393939394,0.08396946564885496,0.13636363636363635,0.016713437280241574,0.2606467765129858,0.6000897567719221,1.9011873453855515,0.030566712841391563,0.0,0.5695102699100971,1.901185903698206,0.0,0.0,4.999252138658448,3.1559225420907935,3.6,2.8,378,1427,67,283,0.0,0.0,21.0,-21.0,0.0,0.0,21.0,-21.0,0.0,0.0,0.0,0.0
mistral:7b,Safety,Evaluation/safety.docx,5,How do I secure Amazon Echo during a Wi-Fi network change?,"During a Wi-Fi network change, ensure that Amazon Echo is connected to a secure network with WPA2 or WPA3 encryption. Update the network settings in the Alexa app manually."," To secure Amazon Echo during a Wi-Fi network change, you should ensure that it is connected to a secure network with WPA2 or WPA3 encryption. You can update the network settings in the Alexa app manually."," To secure your Amazon Echo during a Wi-Fi network change, follow these steps:

1. **Backup your device settings**: Before making any changes, it's a good idea to backup your device settings. You can do this through the Alexa app on your mobile device. Go to ""More"" > ""Settings"" > [your device] > ""Device Settings"" > ""About"" and select ""Back up.""

2. **Unplug your Echo device**: Unplug your Amazon Echo from the power source before changing your Wi-Fi network.

3. **Change your Wi-Fi network**: Connect a computer or mobile device to the old network, and then follow the instructions provided by your internet service provider or router manufacturer to change your Wi-Fi network name (SSID) and password. Make sure to note down the new network details.

4. **Set up your Echo device on the new network**: Once you've changed the Wi-Fi network, reconnect your computer or mobile device to the new network. Plug in your Amazon Echo and ensure it turns back on. Open the Alexa app and select ""Devices"" > [your device] > ""Echo & Alexa"" > ""Change."" Follow the instructions to set up your Echo on the new Wi-Fi network.

5. **Update your device software**: After setting up your Echo on the new network, make sure it is running the latest software version by going to ""Devices"" > [your device] > ""Echo & Alexa"" > ""About."" If an update is available, follow the on-screen instructions to install it.

6. **Change the Amazon Echo password**: For added security, you may want to change the voice shopping password and Alexa account password after setting up your Echo on the new network. You can find these settings in the ""Accounts"" section of the Alexa app.

7. **Enable multi-factor authentication (MFA)**: Enabling MFA adds an extra layer of security to your Amazon account. To do this, go to ""Your Account"" > ""Manage Your Content and Devices"" > ""Settings"" > ""Amazon Home,"" then click on ""Edit"" under Multi-Factor Authentication and follow the instructions.

By following these steps, you can secure your Amazon Echo during a Wi-Fi network change and protect it from potential unauthorized access.",0.96225905418396,0.977448046207428,0.9697941541671753,0.8955223880597014,0.7692307692307692,0.835820895522388,0.5623413251903491,0.9739287444400405,0.7982461452484131,0.8790456056594849,0.8366997241973877,0.12698412698412698,0.05319148936170212,0.10582010582010581,0.014391300298705051,0.2327890828669212,0.4716509599238634,3.168519590049982,0.02929689735174179,0.0,0.44234417751431465,3.168518178164959,0.0,0.0,2.1202119469517324,1.5780240133828056,3.2,3.2,205,2093,45,498,0.0,0.0,-19.0,0.0,0.0,0.0,-19.0,0.0,0.0,0.0,0.0,0.0
mistral:7b,Safety,Evaluation/safety.docx,6,What should I do if Amazon Echo is accessed while I'm away?,"If Amazon Echo is accessed while you're away, review the activity log in the Alexa app, disable Drop In, and consider changing your Amazon account password to prevent further unauthorized use."," If your Amazon Echo is accessed while you're away, you should review the activity log in the Alexa app, disable Drop In, and consider changing your Amazon account password to prevent further unauthorized use."," If you find that your Amazon Echo device has been accessed while you're away, here are some steps you can take to secure it and prevent unauthorized access in the future:

1. Review the Activity History: Check the activity history on your Alexa app to see if there are any unusual or unwanted interactions with your device. You can find this by going to the menu, selecting ""Settings"", then ""Alexa Privacy"", and finally ""Review Your Alexa History"".

2. Change your Amazon account password: If you notice unauthorized activity, change your Amazon account password immediately as a precautionary measure. Also, consider enabling Two-Step Verification for added security.

3. Review and adjust privacy settings: Check your privacy settings on the Alexa app to ensure that only authorized devices and users have access to your Echo device. Go to ""Settings"" -> ""Alexa Privacy"" and review the options like ""Manage How Your Data Improves Alexa"", ""Review Voice Recordings"", and ""Smart Home Device Usage"".

4. Disable voice purchasing: To prevent unauthorized purchases, go to the ""Settings"" -> ""Account Settings"" -> ""Purchasing & Rentals"" and disable '1-Click Purchases'. Also, consider disabling voice purchasing by saying, ""Alexa, turn off buying.""

5. Factory reset the device: If you still feel that your device has been compromised, perform a factory reset on the Echo device. Be aware that doing so will erase all personalized settings and Alexa responses learned by the device, so you'll need to set it up again from scratch. To do this, press and hold the Action (or mic-off) button until the light ring at the top of the device turns off, then release and immediately press and hold again until the light ring turns orange. Once the orange light turns off, your Echo has been factory reset.

It's essential to keep your devices secure, especially when you're not around them. By taking these steps, you can help protect your Amazon Echo from unauthorized access in the future.",0.9847049117088318,0.9905956983566284,0.9876415133476257,0.955223880597015,0.8923076923076922,0.955223880597015,0.8352181944199186,0.9899665218273032,0.8129492998123169,0.9099718928337097,0.8587287664413452,0.1512605042016807,0.08450704225352113,0.12885154061624648,0.020927976340824148,0.28378628212238866,0.4519662205129862,2.822662143036723,0.031620630994439125,0.0,0.42033276334404945,2.8226607982069254,0.0,0.0,4.425109464337149,2.479928395727513,3.7,3.2,209,1978,39,420,0.0,0.0,0.0,-31.0,0.0,0.0,0.0,-31.0,0.0,0.0,0.0,0.0
mistral:7b,Safety,Evaluation/safety.docx,7,How do I manage multiple Amazon Echo devices in my home for security?,"To manage multiple Amazon Echo devices for security, assign each device to a specific room in the Alexa app, disable Drop In between devices, and review device permissions regularly."," To manage multiple Amazon Echo devices in your home for security, you should:

1. Assign each device to a specific room in the Alexa app.
2. Disable Drop In between devices.
3. Review device permissions regularly."," Managing multiple Amazon Echo devices in your home for security involves several steps. Here's a simplified guide:

1. **Alexa App**: Download and install the Amazon Alexa app on your smartphone if you haven't already. This is where you can manage all your Echo devices.

2. **Device Naming and Grouping**: Name each device uniquely to easily identify them in the app. You can also group devices together based on their location or function. For example, you might have a ""Kitchen"" group containing all devices in the kitchen area.

3. **Guest Mode**: Enable Guest Mode on your Echo devices when you have guests over. This allows visitors to use Alexa without granting them access to personal information or smart home devices. To enable Guest Mode, say, ""Alexa, turn on Guest Mode.""

4. **Voice Profiles**: If multiple people live in your house, set up voice profiles for each person. This will allow Alexa to recognize different voices and provide personalized responses. Go to the 'Settings' > 'Account Settings' > 'Voice Training' in the Alexa app to set up voice profiles.

5. **Alexa Guard**: Activate Alexa Guard when you're not home to have your Echo devices listen for signs of potential break-ins and send smartphone notifications if unusual sounds are detected. To enable Guard, go to 'More' > 'Settings' > 'Guard' in the Alexa app.

6. **Smart Home Device Integration**: Connect compatible security cameras, doorbells, and smart locks with your Echo devices for enhanced home security. You can control these devices using voice commands to your Echo devices or receive notifications when motion is detected or someone rings the doorbell.

7. **Alexa Routines**: Create Alexa routines to automate certain actions. For example, you could create a routine that turns on outdoor lights and locks all doors when you say, ""Alexa, I'm going to bed.""

8. **Privacy Settings**: Regularly review your privacy settings in the Alexa app to ensure only authorized devices and users have access to your smart home devices and personal information. You can also choose to delete your voice recordings if desired. Go to 'More' > 'Settings' > 'Alexa Privacy' in the Alexa app for these options.",0.9357680678367615,0.9742306470870972,0.954612135887146,0.8615384615384615,0.73015873015873,0.8615384615384615,0.4302349628270266,0.8723078915386608,0.7989317178726196,0.8890436887741089,0.8415824174880981,0.11488250652741515,0.06299212598425198,0.10443864229765012,0.013014642936475597,0.16912678371011705,0.48729651235044,3.181454559788108,0.02671164833009243,0.0,0.4605740252882242,3.1814530584961176,0.0,0.0,2.0521386356705063,2.8288947180857966,4.1,3.7,214,2190,49,479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mistral:7b,Safety,Evaluation/safety.docx,8,Why should I update the firmware of my Apple HomePod?,"Updating the firmware of your Apple HomePod ensures that it has the latest security patches and features, protecting it from known vulnerabilities and enhancing device functionality."," The firmware update for your Apple HomePod is important to ensure that it functions correctly, has the latest features, and receives security patches. According to the maintenance instructions, updating the firmware helps prevent interruptions, potential connectivity issues, and improves performance. It also ensures compatibility with Google's release notes and secure Wi-Fi networks, which are crucial for a reliable connection. Additionally, keeping the device updated helps maintain its overall functionality and security."," Updating the firmware on your Apple HomePod is important for several reasons:

1. Bug Fixes and Improvements: Firmware updates often contain bug fixes that resolve various issues, such as connectivity problems or audio quality concerns. They can also improve the overall performance of the device.

2. New Features: Firmware updates may introduce new features or functionalities, enhancing your user experience. For example, they might add support for new music services, improve Siri's capabilities, or introduce new settings options.

3. Security Enhancements: Firmware updates can help protect your device from potential security threats by patching vulnerabilities and strengthening the device's defenses against unauthorized access.

4. Compatibility: Updating your HomePod's firmware ensures that it remains compatible with the latest software on your other Apple devices, such as your iPhone or iPad, ensuring smooth integration and functionality across all devices.

5. Future Prospects: Keeping your HomePod updated shows that you are taking care of your device and could potentially make it eligible for future updates and improvements, keeping it relevant and useful for longer.",0.8794021010398865,0.931912362575531,0.9048961400985718,0.404040404040404,0.18556701030927836,0.36363636363636365,0.030122895080543253,0.4790022262699858,0.8419071435928345,0.9284301996231079,0.8830543160438538,0.23999999999999996,0.09090909090909091,0.15,0.01599330374425389,0.33914906642179365,0.754865849390626,1.5788689125329256,0.03036709688603878,0.0,0.7244888339191675,1.5788673292845488,0.0,0.0,3.97421608420525,3.8001888265498542,2.65,3.4499999999999997,528,1190,87,222,0.0,0.0,-34.0,0.0,0.0,0.0,-34.0,0.0,0.0,0.0,0.0,0.0
mistral:7b,Safety,Evaluation/safety.docx,9,How can I prevent Apple HomePod from sharing my data with third-party apps?,"To prevent Apple HomePod from sharing your data with third-party apps, use the Home app to manage permissions and revoke access for any apps you do not trust. Keep your integrations minimal for better privacy."," To prevent Apple HomePod from sharing your data with third-party apps, you should use the Home app to manage permissions and revoke access for any apps you do not trust. Keeping your integrations minimal can also help maintain privacy."," To prevent your Apple HomePod from sharing your data with third-party apps, you can adjust the privacy settings on your iOS device that is connected to the HomePod. Here's how:

1. Open the ""Home"" app on your iPhone or iPad.

2. Tap on the ""Home"" icon at the bottom left corner.

3. Tap on the ""Speaker"" (HomePod) you want to adjust settings for.

4. Scroll down and tap on ""Media Services.""

5. Here, you can manage your subscriptions for music services like Apple Music, Pandora, Spotify, etc. If you don't want a service to share data, turn off the switch next to it.

6. To control Siri suggestions and privacy for voice recordings:
   a. Go back to the Home screen.
   b. Tap on your profile picture at the top right corner.
   c. Tap on ""Privacy.""
   d. Select ""Analytics & Improvements"" and toggle off ""Share IP Address,"" ""Share Device Info,"" and ""Enable Analytics.""
   e. For voice recordings, go to ""Siri & Search"" > ""Voice Recordings."" Here you can delete old recordings or turn off ""Hey Siri"" if desired.",0.9793457984924316,0.987076461315155,0.9831959009170532,0.8947368421052632,0.8378378378378378,0.8947368421052632,0.7068537521325925,0.9305821439873828,0.8106417059898376,0.905045747756958,0.8552464842796326,0.21596244131455397,0.12322274881516589,0.19718309859154928,0.05522030975982399,0.34399566619633143,0.45710725523531437,1.758938955143094,0.02477647177875042,0.0,0.4323176294565201,1.758937330916524,0.0,0.0,2.1876703740067254,2.2740982501413485,3.5,3.4,236,1016,46,270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mistral:7b,Safety,Evaluation/safety.docx,10,Why should I set up personalized voice recognition for Apple HomePod?,"Setting up personalized voice recognition ensures that only recognized users can access specific features, adding a layer of security to protect your personal data and smart home controls."," You should set up personalized voice recognition for Apple HomePod to ensure that only recognized users can access specific features, adding a layer of security to protect your personal data and smart home controls. This helps maintain privacy and prevent unauthorized voices from accessing your device."," Setting up personalized voice recognition for your Apple HomePod offers several benefits:

1. **Privacy and Security**: Personalized voice recognition allows Siri to respond only to your voice, enhancing privacy since it reduces the chances of accidental activation and misinterpretation of commands by other individuals in your household.

2. **Improved Accuracy**: By training Siri to recognize your voice, it can provide more accurate responses and better understand your unique speech patterns, making interactions with HomePod smoother and more efficient.

3. **Personalized Experience**: A personalized voice setup makes Siri more tailored to your needs as she will have a better understanding of your preferences, habits, and routine. This can lead to more relevant recommendations and suggestions based on your personal tastes.

4. **Reduced Commands**: With voice recognition set up, you don't need to explicitly tell Siri ""Hey Siri"" before every command. This saves time and makes interactions more seamless and natural.",0.9404683709144592,0.9732935428619385,0.9565994739532471,0.7567567567567568,0.7222222222222221,0.7567567567567568,0.514560502871611,0.9349746610053417,0.8335892558097839,0.8894192576408386,0.8605996966362,0.16853932584269665,0.056818181818181816,0.15730337078651685,0.030129131170941997,0.2783042394014963,0.4842864405363798,1.3647485859692097,0.024800125509500504,0.0,0.4594761058688164,1.3647473342716694,0.0,0.0,2.06489365862538,2.9309427693274834,3.1,3.05,304,1031,50,195,0.0,0.0,28.0,-28.0,0.0,0.0,28.0,-28.0,0.0,0.0,0.0,0.0
