model,use_case,qa_file,qa_index,question,reference_answer,rag_answer,no_context_answer,rag_bert_Precision,rag_bert_Recall,rag_bert_F1,rag_rouge1,rag_rouge2,rag_rougeL,rag_bleu,rag_meteor,no_context_bert_Precision,no_context_bert_Recall,no_context_bert_F1,no_context_rouge1,no_context_rouge2,no_context_rougeL,no_context_bleu,no_context_meteor,rag_total_time_s,no_context_total_time_s,rag_retrieval_time_s,no_context_retrieval_time_s,rag_llm_time_s,no_context_llm_time_s,rag_rss_diff_mb,no_context_rss_diff_mb,rag_est_cpu_usage_pct,no_context_est_cpu_usage_pct,rag_psutil_cpu_usage_pct,no_context_psutil_cpu_usage_pct,rag_response_bytes,no_context_response_bytes,rag_response_token_count,no_context_response_token_count,rag_nvml_gpu_memory_used_diff_mb,no_context_nvml_gpu_memory_used_diff_mb,rag_nvml_gpu_utilization_diff_pct,no_context_nvml_gpu_utilization_diff_pct,rag_smi_gpu_memory_used_diff_mb,no_context_smi_gpu_memory_used_diff_mb,rag_smi_gpu_utilization_diff_pct,no_context_smi_gpu_utilization_diff_pct,rag_torch_memory_allocated_diff_mb,no_context_torch_memory_allocated_diff_mb,rag_torch_memory_reserved_diff_mb,no_context_torch_memory_reserved_diff_mb
mistral:7b,Maintenance,Evaluation/maintenance.docx,1,How to set Amazon Echo to update at a specific time?,"Amazon Echo updates automatically, but to ensure updates happen, leave it plugged in overnight when the device is most likely idle."," Based on the provided context, there is no information about setting Amazon Echo to update at a specific time. The updates for Amazon Echo are typically automatic and happen during low usage periods overnight. However, if you want to manually prompt an update, you can restart the device or use the Alexa app. But there's no option to schedule a specific time for the update."," To set up scheduled routines on an Amazon Echo device (such as Alexa), you can use the Amazon Alexa app. Here's a step-by-step guide on how to create a routine that triggers at a specific time:

1. Open the Amazon Alexa app on your mobile device.

2. Tap on the ""More"" option (three horizontal lines) located in the bottom navigation bar.

3. Scroll down and tap on ""Routines.""

4. Tap on the ""+ Add Routine"" button.

5. Give a name to your routine and select the time when you want it to be activated. You can choose from ""Good morning,"" ""Wake up,"" ""Going to work,"" ""Arriving home,"" ""Leaving home,"" ""Good night,"" or set a custom time and schedule.

6. Tap on the ""+ Add Action"" button to add the actions you want to be performed when the routine is activated. For example, you can ask Alexa to play music, provide news updates, adjust smart home devices, etc.

7. Once you have added all the necessary actions, tap on ""Save."" Your routine will now be set up and will run at your specified time every day.",0.8606099486351013,0.8903336524963379,0.875219464302063,0.27586206896551724,0.04705882352941177,0.1839080459770115,0.009634420923548383,0.25019685039370076,0.7859739065170288,0.8355457186698914,0.8100020885467529,0.10628019323671498,0.01951219512195122,0.06763285024154589,0.003549687481769408,0.12032085561497328,0.655638512223959,1.663974592462182,0.02478596940636635,0.0,0.6308473814278841,1.663973217830062,0.0,0.0,1.5252307199431854,1.8029121439501286,3.55,2.9,376,1006,73,257,0.0,0.0,24.0,-24.0,0.0,0.0,0.0,-24.0,0.0,0.0,0.0,0.0
mistral:7b,Maintenance,Evaluation/maintenance.docx,2,How to reset Amazon Echo if updates fail?,"Press and hold the action button for about 20 seconds until the light ring turns orange, indicating that the device is resetting."," To reset an Amazon Echo when updates fail, you should follow these steps:

1. Press and hold the action button for about 20 seconds until the light ring turns orange, indicating that the device is being reset. This process is mentioned in MAINT-0002, MAINT-0144, and TROUBLE-0006.
2. After resetting, if you are still having issues, follow the setup process again using the Alexa app to set up the device anew. This step is suggested in TROUBLE-0006 for cases where the Echo is not responding after an update."," If your Amazon Echo is experiencing issues with updates, and the usual methods like saying ""Alexa, check for software updates"" or manually checking for updates in the Alexa app aren't working, you can perform a hard reset to try to resolve the issue. Here's how:

1. Unplug the power adapter from the electrical outlet, keeping the device unplugged for at least 30 seconds.
2. Plug the power adapter back into the electrical outlet and press the Action (or Awake) button on your Echo device to start it up.
3. Wait for the device to boot up. You should hear the Alexa greeting or the spinning sound effect, which indicates that the device is booting up.
4. After the device has finished booting up, say ""Alexa, check for software updates."" This will prompt the device to check for available updates once again.
5. If an update is available, follow the on-screen instructions or verbal prompts to download and install the update.

If the problem persists after trying a hard reset and checking for updates, consider reaching out to Amazon's customer support for further assistance. They can help diagnose more complex issues with your Echo device.",0.8411926031112671,0.9554332494735718,0.8946808576583862,0.3893805309734513,0.3603603603603604,0.3893805309734513,0.22771407239434446,0.6680988184747584,0.8120296597480774,0.8746147751808167,0.8421610593795776,0.12727272727272726,0.04587155963302752,0.10909090909090911,0.014082346668121833,0.2270975056689343,1.023916620761156,1.6325765009969473,0.026446152478456497,0.0,0.9974598549306393,1.632574636489153,0.0,0.0,0.9766420231350974,1.8375861701409293,3.05,2.9,510,1147,121,245,0.0,0.0,-18.0,0.0,0.0,0.0,-18.0,0.0,0.0,0.0,0.0,0.0
mistral:7b,Maintenance,Evaluation/maintenance.docx,3,How to manually update Amazon Echo firmware?,"Firmware updates are usually automatic, but you can restart the device or use the Alexa app to manually prompt an update."," To manually update the firmware of an Amazon Echo, you can follow these steps:

1. Ensure your Echo is connected to a stable Wi-Fi network.
2. Open the Alexa app on your phone.
3. Navigate to 'Device Settings' > 'Firmware Update'.
4. Check for available updates and prompt an update manually if needed."," To manually update the firmware on your Amazon Echo device, you can follow these steps:

1. First, make sure your device is connected to a stable Wi-Fi network.

2. Open the Alexa app on your mobile device or go to the Amazon website and sign in to your account.

3. Navigate to ""Devices"" in the app (or ""Echo & Alexa"" on the website) and find your Echo device.

4. Tap on the device, then select ""About"". If you're using a web browser, click the three vertical dots next to the device name, then select ""About"".

5. Scroll down to find the ""Check for updates"" button. Click it to initiate the firmware update process.

6. The app or website will check for available updates and prompt you if a new version is available. If an update is available, the device will begin downloading and installing the update automatically. You may need to wait for several minutes during this process.

7. Once the update is complete, your Echo device will restart and the update process will be finished. Your Alexa device should now be running on the latest firmware version.",0.8510134220123291,0.9054310321807861,0.877379298210144,0.37837837837837834,0.19444444444444445,0.27027027027027023,0.028129260869766637,0.4224058769513316,0.8156222105026245,0.8890061378479004,0.8507345914840698,0.17142857142857143,0.07692307692307691,0.11428571428571427,0.008721746866867339,0.21220159151193635,0.6897413171827793,1.6238131672143936,0.020184246823191643,0.0,0.6695471610873938,1.6238118968904018,0.0,0.0,1.4498189032756335,2.463337581387381,3.1,3.3,303,1061,76,245,0.0,0.0,15.0,-15.0,0.0,0.0,15.0,-15.0,0.0,0.0,0.0,0.0
mistral:7b,Maintenance,Evaluation/maintenance.docx,4,How to clean Amazon Echo fabric cover for maintenance?,"Use a lint roller or a dry microfiber cloth to clean the fabric cover, avoiding any moisture to prevent damage."," To clean the fabric cover of an Amazon Echo for maintenance, use a lint roller or a dry microfiber cloth. Avoid using any moisture to prevent damage."," To clean your Amazon Echo's fabric cover, you can follow these steps:

1. Turn off and unplug your device: Before starting any cleaning process, make sure to turn off and unplug your Echo to avoid any accidents.

2. Gently vacuum or brush the surface: Use a soft-bristle brush attachment on your vacuum cleaner, or a clean, dry, soft-bristle brush to gently remove loose dust and debris from the fabric cover. Avoid using wet cleaning methods, as they could damage the device.

3. Use a damp cloth (if necessary): If there are stubborn stains, you can dampen a soft, lint-free cloth with warm water and gently dab the stain. Do not submerge or soak any part of your Echo in water. Avoid using soap, detergent, or other cleaning solutions, as they could damage the device.

4. Dry the cover thoroughly: After cleaning, allow the fabric cover to air-dry completely. You can use a clean, dry, soft cloth to help blot any excess moisture if needed.

5. Avoid excessive moisture: Excessive moisture can cause damage to your Echo's electronics and fabric cover, so be sure to only dampen the cloth lightly when cleaning.

6. Check for proper fit after drying: Once the fabric cover is completely dry, check that it fits snugly back onto your Echo to ensure no water has seeped inside the device during cleaning.",0.9372236728668213,0.9543062448501587,0.9456878304481506,0.851063829787234,0.7111111111111111,0.6382978723404256,0.38975749519739833,0.8647939404783206,0.8171160221099854,0.8890517950057983,0.8515674471855164,0.1354581673306773,0.0642570281124498,0.10358565737051793,0.004017503332443422,0.18518518518518523,0.41132739186286926,1.9838787745684385,0.021547451615333557,0.0,0.3897671066224575,1.983877370133996,0.0,0.0,2.431153430852143,2.520315285446743,3.2,2.9,150,1306,33,303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mistral:7b,Maintenance,Evaluation/maintenance.docx,5,How to ensure Amazon Echo is always ready for firmware updates?,"Keep the device connected to power and Wi-Fi at all times, especially overnight, as updates are typically pushed during low usage periods."," To ensure that an Amazon Echo is always ready for firmware updates, follow these steps:

1. Keep the device connected to power and Wi-Fi at all times, especially overnight, as updates are typically pushed during low usage periods (MAINT-0005).
2. Leave it plugged in overnight when the device is most likely idle, to allow for automatic updates (MAINT-0001).
3. Check the Alexa app for update notifications or any prompts indicating that a firmware update is available for your Echo device (MAINT-0006).
4. If no updates are available, you can manually prompt an update by restarting the device or using the Alexa app (MAINT-0003).
5. Ensure a stable Wi-Fi connection and use a secure Wi-Fi network with WPA3 encryption to protect data during firmware updates (MAINT-0009).
6. Avoid using public networks during firmware updates to prevent unauthorized access (MAINT-0329).
7. Enable automatic updates in the Alexa app for easier maintenance and timely update installation (MAINT-0333)."," To ensure that your Amazon Echo device is always prepared for firmware updates, you can follow these steps:

1. Keep the device connected to Wi-Fi: Your Amazon Echo needs a stable internet connection to receive and install updates. Make sure it's always connected to Wi-Fi.

2. Check for available updates manually: You can check for available updates manually by saying, ""Alexa, check for software updates."" If an update is available, Alexa will guide you through the process of downloading and installing it.

3. Automatic updates: By default, Amazon Echo devices are set to automatically receive and install updates. However, if for some reason this feature is turned off, you can turn it back on by saying, ""Alexa, enable over-the-air software updates.""

4. Keep the device updated: Once an update is available, it's important to install it as soon as possible to ensure your Echo device has all the latest features and security enhancements.

5. Regular reboot: It's a good practice to manually reboot your Amazon Echo every few weeks. You can do this by saying, ""Alexa, reboot."" This helps clear any temporary issues that might be preventing updates from being installed.",0.8180537223815918,0.9538428783416748,0.8807452321052551,0.24598930481283426,0.23783783783783782,0.24598930481283426,0.1276617158733038,0.5082070707070708,0.8118842244148254,0.86162269115448,0.8360142707824707,0.10859728506787329,0.04566210045662101,0.09049773755656108,0.020770701049291913,0.14138817480719795,1.8105222266167402,1.6609327532351017,0.028903750702738762,0.0,1.7816055621951818,1.6609315611422062,0.0,0.0,2.761634144263471,3.010356674753617,3.3499999999999996,3.75,987,1178,225,251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mistral:7b,Maintenance,Evaluation/maintenance.docx,6,How to identify if Amazon Echo needs a firmware update?,Check the Alexa app for update notifications or any prompts indicating that a firmware update is available for your Echo device.," The Amazon Echo checks for updates automatically. If there is an available update, you will receive notifications or prompts in the Alexa app. Therefore, you can check for firmware updates by opening the Alexa app and navigating to 'Device Settings' > 'Firmware Update'."," To determine if your Amazon Echo device needs a firmware update, you can follow these steps:

1. Open the Alexa app on your smartphone or go to the Amazon Echo & Alexa website (https://www.amazon.com/alexa) and sign in with your Amazon account.

2. On the Alexa app home screen, tap on the three horizontal lines at the top left corner of the screen.

3. Scroll down and tap on ""Settings.""

4. Tap on ""Device Settings.""

5. Select your Echo device from the list that appears.

6. Tap on ""About"" to view information about the device, including the firmware version.

7. If there is a new firmware update available for your Echo device, you will see an option to ""Update software."" Click on this option and follow the on-screen instructions to download and install the update.

Alternatively, Alexa may inform you about a new firmware update when it's available by announcing it through your Echo device. You can also check for updates manually by saying, ""Alexa, check for software updates.""",0.8839251399040222,0.9127174615859985,0.8980906009674072,0.5079365079365079,0.16393442622950818,0.2857142857142857,0.03320360407972623,0.5507662835249043,0.8171590566635132,0.890800952911377,0.8523924350738525,0.1752577319587629,0.09375,0.13402061855670103,0.028570184433660273,0.34320994833919727,0.5656688753515482,1.5808025188744068,0.030647920444607735,0.0,0.535010727122426,1.5808010622859001,0.0,0.0,3.5356373440216395,3.7955405108490416,3.1,2.85,271,991,53,230,0.0,0.0,26.0,-26.0,0.0,0.0,26.0,-26.0,0.0,0.0,0.0,0.0
mistral:7b,Maintenance,Evaluation/maintenance.docx,7,How to troubleshoot Amazon Echo update failures?,"Restart both the Echo and your router, ensure a stable Wi-Fi connection, and try to update again using the Alexa app."," To troubleshoot Amazon Echo update failures, you can follow these steps:

1. Check for update notifications or prompts in the Alexa app. If there's no notification, you can manually prompt an update by restarting the device or using the Alexa app. (MAINT-0006, MAINT-0003)

2. Restart both the Echo and your router. Ensure a stable Wi-Fi connection, as network congestion may interfere with the update process. Try again after restarting. (MAINT-0007)

3. If the device is unresponsive during updates, unplug it for 30 seconds then plug it back in. If the issue persists, perform a factory reset and set up the device again using the Alexa app. (TROUBLE-0006)

4. If multiple accounts are causing confusion, unlink and re-link the correct account in the Alexa app to ensure proper functioning. (TROUBLE-0007)"," Troubleshooting Amazon Echo update failures can be approached in several steps. Here's a guide to help you with that:

1. Power Cycle Your Device: Unplug your Amazon Echo, wait for about 30 seconds, then plug it back in. Wait for the light ring to turn orange and then white before attempting another update.

2. Check Internet Connection: Make sure your device is connected to a stable and secure Wi-Fi network. You can check this by asking Alexa, ""Alexa, what's my Wi-Fi password?"" If the connection is weak or unstable, consider moving the device closer to your router or try resetting your Wi-Fi network.

3. Update Alexa App: Ensure that your mobile device running the Alexa app has the latest software update installed. Go to the App Store (iOS) or Google Play Store (Android), search for the Alexa app, and check if there are any available updates.

4. Check for Device Software Updates: In the Alexa app, go to 'More' (in the lower navigation bar) > 'Settings' > 'Device Settings,' select your device, then tap 'Software Update.' If an update is available, follow the on-screen instructions to install it.

5. Hard Reset Your Echo Device: A hard reset may be necessary if the above steps don't work. To do this, press and hold the Action (or mic off) button for at least 20 seconds until the light ring at the top turns orange, then releases. Wait for the device to restart itself before attempting another update.

6. Contact Amazon Support: If none of the above steps solve the problem, you may need to contact Amazon Support for further assistance. You can reach them through the Alexa app by going to 'More' (in the lower navigation bar) > 'Help & Feedback' > 'Contact Us.' Be sure to describe the issue and any troubleshooting attempts you have already made.",0.8241279125213623,0.9279055595397949,0.8729432225227356,0.27672955974842767,0.2038216560509554,0.25157232704402516,0.0826206610015051,0.4962657232704402,0.8012954592704773,0.8929780721664429,0.8446561694145203,0.11515151515151516,0.03048780487804878,0.08484848484848485,0.002345087045021855,0.15151515151515155,1.6433360986411572,2.629597470164299,0.02705683931708336,0.0,1.6162688583135605,2.629596136510372,0.0,0.0,3.0425912289683885,2.281718045486686,3.25,2.7,809,1772,200,399,0.0,0.0,-17.0,0.0,0.0,0.0,-17.0,0.0,0.0,0.0,0.0,0.0
mistral:7b,Maintenance,Evaluation/maintenance.docx,8,How to handle Amazon Echo unresponsiveness during updates?,"Unplug the Echo device, wait 10 seconds, and plug it back in to restart it, which should resolve unresponsiveness during updates."," To handle Amazon Echo unresponsiveness during updates, you should follow these steps:

1. First, check for any update notifications or prompts in the Alexa app. If an update is available, wait for it to complete.
2. If the issue persists, restart both the Echo and your router. Ensure a stable Wi-Fi connection and try updating again using the Alexa app.
3. If the device remains unresponsive, unplug the Echo for 10 seconds, then plug it back in to restart it. This should resolve any issues during updates.
4. If the problem continues, perform a factory reset of the Amazon Echo by holding the action button for about 20-25 seconds until the light ring changes color, indicating that the device is being restored to factory settings. After the reset, set up the device again using the Alexa app."," If your Amazon Echo device is unresponsive during an update, here are some steps you can take to resolve the issue:

1. Check the power and internet connection: Ensure that your Echo device is properly plugged in and connected to a stable Wi-Fi network.

2. Force reboot the device: Unplug the power cord from the wall outlet, wait for about 30 seconds, then plug it back in. The light ring on your Echo will turn orange during the boot process. After a few moments, the ring should turn blue and your device should be ready to use again.

3. Wait for the update to complete: Sometimes the update process may take longer than expected. If you've already waited for an hour or more without seeing any progress, it might be best to leave the device alone and check back later.

4. Use the Alexa app: You can also try resetting your Echo device using the Alexa app on your phone. Open the app, go to ""Devices"" > select your Echo device > tap the gear icon (settings) > choose ""Factory Reset."" Keep in mind that this will erase all personalized settings and voice profiles associated with the device.

5. Contact Amazon support: If none of the above steps work, it may be necessary to contact Amazon Support for further assistance. You can find their contact information on the Amazon website or through the Alexa app by going to ""Help & Feedback"" > ""Contact Us.""",0.850213885307312,0.9257587194442749,0.886379599571228,0.25,0.15189873417721517,0.20000000000000004,0.049600154726074416,0.47034764826175873,0.8179052472114563,0.9071205854415894,0.860205888748169,0.13740458015267176,0.04615384615384615,0.08396946564885496,0.005903440568992278,0.17321016166281758,1.4148135967552662,1.9744940716773272,0.027731692418456078,0.0,1.3870724868029356,1.9744927324354649,0.0,0.0,2.8272275649385636,2.532294257903357,4.7,2.9,798,1360,172,298,0.0,0.0,-28.0,0.0,0.0,0.0,-28.0,0.0,0.0,0.0,0.0,0.0
mistral:7b,Maintenance,Evaluation/maintenance.docx,9,How to protect Amazon Echo data during firmware updates?,Use a secure Wi-Fi network with WPA3 encryption and avoid public networks during firmware updates to protect data.," To protect Amazon Echo data during firmware updates, follow these steps:

1. Use a secure Wi-Fi network with WPA3 encryption and avoid public networks. (MAINT-0009, SAFE-0100)
2. Apply updates only through the official Alexa app. (SAFE-0100)
3. Disable automatic network detection to prevent connecting to insecure or unauthorized networks. (SAFE-0180)
4. Review linked devices in the Alexa app and disconnect any unauthorized devices. (SAFE-0181, SAFE-0183)"," To protect Amazon Echo data during firmware updates, you can follow these steps:

1. Backup your Alexa Voice History: You can request a copy of your voice recordings by visiting the 'Your Data in Alexa' section of your Amazon Account Settings on the web.

2. Use a Virtual Private Network (VPN): A VPN creates an encrypted connection between your device and the internet, which helps to secure data during firmware updates.

3. Keep your Echo device updated: Regularly update your Amazon Echo firmware to ensure you have the latest security patches.

4. Enable Alexa Privacy Settings: In the Alexa app, go to 'Settings' > 'Alexa Privacy' > 'Review Your Alexa Privacy Learning History'. Here, you can delete individual recordings or all recordings made during a specific time frame.

5. Be cautious with third-party skills: Only enable and use skills from trusted developers to minimize potential data leaks.

6. Limit the information shared with third parties: In the Alexa app, go to 'Settings' > 'Alexa Privacy' > 'Manage Your Alexa Data'. Here, you can manage how much of your personal data is shared with third-party skills and services.

7. Use a passcode: Enable the voice coding feature or set up a four-digit passcode for added security on your Echo device. This will require anyone interacting with Alexa to provide the correct code before making any changes.",0.8294811248779297,0.9432176351547241,0.8827007412910461,0.4175824175824176,0.33707865168539325,0.32967032967032966,0.1671109463645597,0.672682651708001,0.7991449236869812,0.869084358215332,0.832648515701294,0.10699588477366255,0.03319502074688797,0.0823045267489712,0.00291437902630144,0.1550387596899225,1.0379389934241772,2.013727732002735,0.028865521773695946,0.0,1.0090634748339653,2.0137263499200344,0.0,0.0,2.8903432851317796,2.482957313720601,2.5,2.9,459,1369,116,295,0.0,0.0,0.0,0.0,0.0,0.0,-37.0,0.0,0.0,0.0,0.0,0.0
mistral:7b,Maintenance,Evaluation/maintenance.docx,10,How to restore Amazon Echo's factory settings for maintenance?,"Hold the action button for 20-25 seconds until the light ring changes color, indicating that the device is being restored to factory settings."," To restore an Amazon Echo to its factory settings, you should follow the instructions in MAINT-01010: Press and hold the action button for 20-25 seconds until the light ring changes color, indicating that the device is being restored to factory settings."," To reset your Amazon Echo device to its factory settings, follow these steps:

1. **Alexa, open Settings.** This will launch the Alexa app settings on your mobile device. If you don't have the Alexa app, you can also perform this reset through the web interface on the Amazon website.

2. **Navigate to Device Settings.** Scroll down and select your device from the list.

3. **Select 'Factory Reset' or 'Reset to Factory Defaults'.** This option is typically located under the 'Device Options' section.

4. **Confirm the action.** A pop-up will appear asking for confirmation. Select 'Forget Device' to continue.

5. **Enter a PIN, if prompted.** If you have set up a PIN on your device, you may be asked to enter it before proceeding with the factory reset.

6. **Follow on-screen instructions.** The Alexa device will begin resetting and may reboot during this process. Once completed, the device will be restored to its original factory settings.

Please note that a factory reset erases all personalized information associated with your account, such as voice profiles, music preferences, smart home devices, and routines. Be sure to save any important data before performing this action.

If you don't have access to the Alexa app or web interface, you can also manually reset some Amazon Echo devices by pressing and holding the Action (or Mic Off) button for 25 seconds until the light ring spins and then turns off. Afterward, unplug the device, wait for about 30 seconds, and plug it back in. The light ring will turn orange, and then it will restart and reconfigure itself with the default factory settings.",0.9084318280220032,0.9595150351524353,0.9332749247550964,0.7164179104477612,0.7076923076923077,0.7164179104477612,0.5184219486010112,0.9273812427587048,0.7990970611572266,0.8819576501846313,0.8384852409362793,0.13559322033898305,0.08873720136518772,0.1016949152542373,0.019828032875487848,0.30222541697347965,0.5605838634073734,2.3631304167211056,0.030111731961369514,0.0,0.5304601192474365,2.363129060715437,0.0,0.0,3.567708831087537,2.1158375198396047,3.2,2.85,255,1619,51,363,0.0,0.0,37.0,-37.0,0.0,0.0,0.0,-37.0,0.0,0.0,0.0,0.0
